龙江路	[138, 5, 0, 0, 0, 130, 5, 0, 0, 0, 165, 4, 1, 0, 0, 137, 6, 0, 0, 0, 140, 3, 1, 0, 0, 141, 2, 0, 0, 0, 144, 0, 0, 0, 0]	1022
河川街	[139, 3, 1, 0, 0, 126, 7, 2, 0, 0, 158, 10, 2, 0, 0, 139, 4, 0, 0, 0, 138, 5, 1, 0, 0, 133, 3, 7, 0, 0, 130, 8, 5, 1, 0]	1022
圣林街	[266, 13, 3, 1, 0, 259, 10, 1, 0, 0, 326, 13, 1, 0, 0, 273, 11, 1, 0, 0, 269, 15, 4, 0, 0, 282, 4, 0, 0, 0, 283, 5, 0, 0, 0]	2040
锦绣路	[119, 11, 10, 3, 0, 111, 14, 8, 2, 0, 141, 16, 11, 2, 0, 122, 17, 3, 1, 0, 119, 15, 10, 0, 0, 129, 14, 0, 0, 0, 138, 6, 0, 0, 0]	1022
软件园东路	[126, 7, 6, 4, 0, 117, 2, 9, 5, 2, 150, 8, 6, 3, 3, 123, 8, 7, 3, 1, 124, 11, 4, 4, 1, 143, 0, 0, 0, 0, 144, 0, 0, 0, 0]	1021
红凌路	[254, 14, 14, 2, 0, 230, 32, 8, 0, 0, 299, 37, 4, 0, 0, 240, 31, 9, 4, 0, 254, 23, 9, 2, 0, 243, 36, 7, 0, 0, 262, 24, 2, 0, 0]	2040
南平街	[142, 0, 1, 0, 0, 131, 3, 1, 0, 0, 167, 3, 0, 0, 0, 135, 6, 1, 0, 0, 138, 3, 3, 0, 0, 139, 1, 3, 0, 0, 142, 1, 1, 0, 0]	1021
数码路	[236, 28, 20, 0, 0, 228, 24, 18, 0, 0, 296, 34, 10, 0, 0, 244, 24, 16, 0, 0, 238, 38, 12, 0, 0, 272, 12, 2, 0, 0, 280, 8, 0, 0, 0]	2040
兴工街	[184, 75, 17, 5, 0, 165, 68, 27, 9, 1, 189, 89, 49, 13, 0, 174, 78, 25, 5, 0, 174, 94, 17, 3, 0, 143, 59, 42, 37, 5, 151, 57, 46, 33, 0]	2034
西南路	[158, 114, 14, 0, 0, 166, 88, 16, 0, 0, 238, 96, 6, 0, 0, 178, 98, 8, 0, 0, 154, 120, 14, 0, 0, 196, 90, 0, 0, 0, 220, 68, 0, 0, 0]	2042
西北路	[233, 50, 0, 0, 0, 226, 42, 2, 0, 0, 301, 39, 0, 0, 0, 240, 41, 3, 0, 0, 241, 47, 0, 0, 0, 265, 20, 1, 0, 0, 270, 18, 0, 0, 0]	2039
南松路	[268, 12, 4, 0, 0, 262, 8, 0, 0, 0, 318, 22, 0, 0, 0, 268, 16, 0, 0, 0, 274, 12, 2, 0, 0, 280, 2, 4, 0, 0, 282, 4, 2, 0, 0]	2040
